frequency	gain
1.949844599758029e+009	6.770298e+002
1.995262314968863e+009	6.567031e+002
2.041737944669512e+009	6.370968e+002
2.089296130854022e+009	6.182318e+002
2.137962089502214e+009	6.001252e+002
2.187761623949534e+009	5.827911e+002
2.238721138568320e+009	5.662411e+002
2.290867652767753e+009	5.504849e+002
2.344228815319901e+009	5.355308e+002
2.398832919019469e+009	5.213863e+002
2.454708915685008e+009	5.080592e+002
2.511886431509557e+009	4.955577e+002
2.570395782768840e+009	4.838912e+002
2.630267991895358e+009	4.730714e+002
2.691534803926891e+009	4.631123e+002
2.754228703338141e+009	4.540317e+002
2.818382931264428e+009	4.458516e+002
2.884031503126579e+009	4.385993e+002
2.951209226666359e+009	4.323082e+002
3.019951720401988e+009	4.270187e+002
3.090295432513562e+009	4.227791e+002
3.162277660168350e+009	4.196458e+002
3.235936569296252e+009	4.176833e+002
3.311311214825880e+009	4.169621e+002
3.388441561391993e+009	4.175546e+002
3.467368504525283e+009	4.195258e+002
3.548133892335721e+009	4.229146e+002
3.630780547700978e+009	4.277007e+002
3.715352290971689e+009	4.337451e+002
3.801893963205575e+009	4.406908e+002
3.890451449942768e+009	4.478098e+002
3.981071705534934e+009	4.537997e+002
4.073802778041087e+009	4.565995e+002
4.168693834703313e+009	4.534235e+002
4.265795188015884e+009	4.413435e+002
4.365158322401616e+009	4.185537e+002
4.466835921509586e+009	3.856866e+002
4.570881896148705e+009	3.459444e+002
4.677351412871935e+009	3.036955e+002
4.786300923226336e+009	2.627291e+002
4.897788193684413e+009	2.253865e+002
5.011872336272673e+009	1.926396e+002
5.128613839913597e+009	1.645600e+002
5.248074602497673e+009	1.407619e+002
5.370317963702473e+009	1.206913e+002
5.495408738576189e+009	1.037776e+002
